id,hip,hd,hr,gl,bf,proper,rarad,decrad,mag,ci
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,1.7677953696022,-0.291751258517685,-1.44,0.009
30365,30438,45348,2326,,Alp Car,Canopus,1.67530535199973,-0.919712774890268,-0.62,0.164
69451,69673,124897,5340,Gl 541,16Alp Boo,Arcturus,3.73352902854209,0.334796218058621,-0.05,1.239
71456,71683,128620,5459,Gl 559A,Alp1Cen,Rigil Kentaurus,3.83817921177723,-1.06175317577042,-0.01,0.71
90979,91262,172167,7001,Gl 721,3Alp Lyr,Vega,4.87356309550903,0.676903116397302,0.03,-0.001
24549,24608,34029,1708,Gl 194A,13Alp Aur,Capella,1.3818164126488,0.802816392634111,0.08,0.795
24378,24436,34085,1713,,19Bet Ori,Rigel,1.37243036932764,-0.143145630755865,0.18,-0.03
37173,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,2.00408304124283,0.09119333187796,0.4,0.432
7574,7588,10144,472,,Alp Eri,Achernar,0.426355065913764,-0.998969869241576,0.45,-0.158
27919,27989,39801,2061,,58Alp Ori,Betelgeuse,1.54972911837132,0.129277631694194,0.45,1.5
68483,68702,122451,5267,,Bet Cen,Hadar,3.68187566037615,-1.0537083140752,0.61,-0.231
97338,97649,187642,7557,Gl 768,53Alp Aql,Altair,5.195772105547,0.15478141706831,0.76,0.221
60530,60718,108248,4730,,Alp1Cru,Acrux,3.25765128156226,-1.10128690286423,0.77,-0.243
21368,21421,29139,1457,Gl 171.1A,87Alp Tau,Aldebaran,1.20393081120275,0.288141666122131,0.87,1.538
118360,,,,Gl 194B,,,1.38175777871912,0.8028661534716,0.96,0
65269,65474,116658,5056,,67Alp Vir,Spica,3.51331721809913,-0.194801818024575,0.98,-0.235
80519,80763,148478,6134,,21Alp Sco,Antares,4.31710546600064,-0.461325470595981,1.06,1.865
37718,37826,62509,2990,Gl 286,78Bet Gem,Pollux,2.03032688748122,0.489149441745998,1.16,0.991
113008,113368,216956,8728,Gl 881,24Alp PsA,Fomalhaut,6.01113338390649,-0.517005551408977,1.17,0.145
62239,62434,111123,4853,,Bet Cru,Becrux,3.34981702660145,-1.04176544983974,1.25,-0.238
101767,102098,197345,7924,,50Alp Cyg,Deneb,5.41676854217707,0.790290982752855,1.25,0.092
71453,71681,128621,5460,Gl 559B,Alp2Cen,,3.83806957077723,-1.06182864877042,1.35,0.9
49528,49669,87901,3982,,32Alp Leo,Regulus,2.65452317215346,0.208867165288071,1.36,-0.087
33492,33579,52089,2618,,21Eps CMa,Adhara,1.82659964856775,-0.505658251855461,1.5,-0.211
36744,36850,60179,2891,Gl 278A,66Alp Gem,Castor,1.98355827023441,0.556555413027029,1.58,0.034
60893,61084,108903,4763,,Gam Cru,Gacrux,3.27757892924825,-0.996813589195009,1.59,1.6
85665,85927,158926,6527,,35Lam Sco,Shaula,4.59723515245135,-0.647583842514849,1.62,-0.231
25273,25336,35468,1790,,24Gam Ori,Bellatrix,1.41865183381453,0.11082320964651,1.64,-0.224
25364,25428,35497,1791,,112Bet Tau,Alnath,1.42371680856547,0.499294192379052,1.65,-0.13
45106,45238,80007,3685,,Bet Car,Miaplacidus,2.41380117287407,-1.21679481890743,1.67,0.07
26246,26311,37128,1903,,46Eps Ori,Alnilam,1.46700838720758,-0.020977457966469,1.69,-0.184
108922,109268,209952,8425,Gl 848.2,Alp Gru,Alnair,5.79550764294474,-0.819623639519247,1.73,-0.07
26662,26727,37742,1948,,50Zet Ori,Alnitak,1.48684068726058,-0.033904281250164,1.74,-0.199
39840,39953,68273,3207,,Gam2Vel,,2.1359886134423,-0.826179311030153,1.75,-0.145
62757,62956,112185,4905,,77Eps UMa,Alioth,3.37733559014456,0.976683126633446,1.76,-0.022
15824,15863,20902,1017,,33Alp Per,Mirphak,0.891526003775061,0.870241751624667,1.79,0.481
89906,90185,169022,6879,,20Eps Sgr,Kaus Australis,4.81785945269639,-0.600124762349487,1.79,-0.031
53905,54061,95689,4301,,50Alp UMa,Dubhe,2.89606535020345,1.07775884465281,1.81,1.061
34354,34444,54605,2693,,25Del CMa,Wezen,1.86921013234171,-0.460648233737419,1.83,0.671
67088,67301,120315,5191,,85Eta UMa,Alkaid,3.61082990127828,0.86067883892618,1.85,-0.099
40921,41037,71129,3307,,Eps Car,Avior,2.19263167604687,-1.03863641419041,1.86,1.196
85965,86228,159532,6553,,The Sco,Sargas,4.61342366507245,-0.750453596300129,1.86,0.406
28288,28360,40183,2088,NN 3375,34Bet Aur,Menkalinan,1.56874094502027,0.78448069066935,1.9,0.077
82022,82273,150798,6217,,Alp TrA,Atria,4.40112958621837,-1.2047609005058,1.91,1.447
31601,31681,47105,2421,,24Gam Gem,Alhena,1.73534459346076,0.286220944173494,1.93,0.001
42794,42913,74956,3485,Gl 321.3A,Del Vel,,2.28945121088205,-0.954849056743453,1.93,0.043
100425,100751,193924,7790,,Alp Pav,Peacock,5.34789637906743,-0.990214121586119,1.94,-0.118
11734,11767,8890,424,,1Alp UMi,Polaris,0.662287074865334,1.55795261297515,1.97,0.636
30251,30324,44743,2294,,2Bet CMa,Mirzam,1.66984269564687,-0.31338988393796,1.98,-0.24
46259,46390,81797,3748,,30Alp Hya,Alphard,2.47656718031685,-0.151121122495205,1.99,1.44
9861,9884,12929,617,Gl 84.3,13Alp Ari,Hamal,0.554898130994913,0.409496533262108,2.01,1.151
50440,50583,89484,4057,,41Gam1Leo,Algieba,2.70513983723541,0.346299305647402,2.01,1.128
3413,3419,4128,188,Gl 31,16Bet Cet,Diphda,0.190194642230461,-0.313925470402652,2.04,1.019
92564,92855,175191,7121,,34Sig Sgr,Nunki,4.953529829382,-0.458964384476017,2.05,-0.134
68714,68933,123139,5288,Gl 539,5The Cen,Menkent,3.69435454809658,-0.634775452665311,2.06,1.011
676,677,358,15,,21Alp And,Alpheratz,0.036597162708016,0.507723818465945,2.07,-0.038
5436,5447,6860,337,Gl 53.3,43Bet And,Mirach,0.30426179273799,0.621696012069061,2.07,1.576
27298,27366,38771,2004,,53Kap Ori,Saiph,1.51737389275286,-0.168766439905435,2.07,-0.168
72380,72607,131873,5563,,7Bet UMi,Kochab,3.88643929021955,1.29425771723645,2.07,1.465
111768,112122,214952,8636,,Bet Gru,,5.94575599770802,-0.81829023431959,2.07,1.61
85769,86032,159561,6556,Gl 681,55Alp Oph,Rasalhague,4.60302002272537,0.219213960617327,2.08,0.155
14540,14576,19356,936,,26Bet Per,Algol,0.821041501386661,0.714810897913476,2.09,-0.003
9618,9640,12533,603,,57Gam1And,Almaak,0.540611676505169,0.738793066882135,2.1,1.37
57459,57632,102647,4534,Gl 448,94Bet Leo,Denebola,3.09385696597425,0.254330430316206,2.14,0.09
4417,4427,5394,264,,27Gam Cas,Cih,0.247437951103704,1.05970702895103,2.15,-0.046
61739,61932,110304,4819,,Gam Cen,,3.32275024235822,-0.854511252905435,2.2,-0.023
39318,39429,66811,3165,,Zet Pup,Naos,2.11003413257871,-0.698186637596527,2.21,-0.269
45425,45556,80404,3699,,Iot Car,Tureis,2.43076493672462,-1.03454791385811,2.21,0.189
76035,76267,139006,5793,,5Alp CrB,Alphekka,4.0783442886637,0.466259350848144,2.22,0.032
